Label,Actual Number of Videos,Predicted Number of Videos
paw patrol,8,7
pig,8,6
pig en,0,2
wrong,2,2
orbital fantasy,1,1
video tutorial,3,2
play,15,11
twitch,9,5
listening,1,1
listening practice test 2017,1,1
listening test,2,1
2017,85,66
4th may 2017,26,25
episode,46,42
full episode,77,48
latest,45,43
location,22,21
may 4 day year,12,13
news,148,59
preview,39,44
romantic,24,18
serial,64,44
star plus,26,22
today,41,40
trump,42,24
beautiful,16,10
comedy,64,23
cute,17,8
girl,16,10
love,39,21
2017,85,66
4th may 2017,26,25
dev,2,2
fat,20,14
full episode,77,48
latest,45,43
may 4 day year,12,13
new show,4,3
rang,4,2
rang 4th may 2017,1,1
rang 4th may 2017 full episode,1,1
rang full episode,2,2
rang full episode 4th may 2017,1,1
title song,2,2
today episode,32,26
jordan,2,1
news,148,59
2015,1,1
2017,85,66
soda,1,1
2017,85,66
boss,1,2
entrepreneur,3,1
financial freedom,1,1
money,8,2
tube,1,1
twitter,6,1
easter,5,2
learn,22,16
trucks,1,1
video,34,9
application,3,3
entertainment,10,7
free,12,3
free mobile,4,4
free streaming,4,4
go 90,4,4
go 90 video,4,4
go90,5,4
go90 original series,3,3
mobile,10,4
mobile video streaming,4,4
social,4,4
streaming,7,5
animation,11,7
bean,13,7
bean funny,7,7
ben,8,6
cartoon,38,16
cartoon network,6,6
comedy,64,23
entertainment television,6,6
funny,61,32
grey matter,6,6
preview,39,44
sab,6,6
serial,64,44
set,9,8
star plus,26,22
sunny hot,6,6
sunny hot scene,6,6
2017,85,66
4th may 2017,26,25
episode,46,42
full episode,77,48
latest,45,43
location,22,21
may 4 day year,12,13
news,148,59
preview,39,44
romantic,24,18
serial,64,44
star plus,26,22
today,41,40
00,1,1
01,1,1
12u,1,1
14u,1,1
16u,1,1
18u,1,1
1st,2,1
2016,11,9
2017,85,66
2018,1,1
2019,1,1
2020,1,1
2021,1,1
98,1,1
99,1,1
athletics,1,1
bad,3,2
best,24,7
big,7,3
ca,1,1
cal,2,1
catcher,1,1
champion,3,1
class,1,1
combine,1,1
division,1,1
fast,2,1
fat,20,14
freshman,1,1
game,23,14
hard,2,1
high school,8,8
highlight,5,1
home run,1,1
la,2,1
league,9,2
play,15,11
player,4,3
premier,1,1
racing,6,2
recruit,1,1
rise,1,1
school,13,4
scout,1,1
shortstop,1,1
showcase,3,2
tournament,1,1
triple crown,1,1
utility,1,1
varsity,1,1
forest rain sound,4,4
gentle rain,4,4
rain roof,4,4
rain shower,8,4
rain shower sound,4,4
rain sound,16,4
rainy,11,4
sound,10,6
thunderstorm,12,4
colors,42,25
full,6,6
full episode,77,48
harman,4,4
preview,39,44
shakti,16,5
shakti 4th may 2017,2,3
shakti colors,6,3
shakti full episode,9,5
shakti full episode 4th may 2017,2,3
shakti serial,5,4
watch shakti,2,2
18042017,1,1
2017,85,66
championship,2,1
china,2,1
gold,4,3
hearthstone,2,2
spring,4,1
10,2,2
big show,1,2
funny,61,32
life,16,8
love,39,21
mike,2,2
randy,1,2
raw,2,2
reaction,6,2
reaction video,1,2
seth,2,3
stone cold,1,1
stunner,1,1
tattoo,3,2
tell,23,13
top,11,5
top 10,3,3
top 10 raw,1,2
top 10 raw reaction,1,2
top 25 seth reaction,2,2
undertaker savage,1,2
world wrestling entertainment,3,2
wrestling,4,2
beauty,6,2
cooking,6,3
fashion,8,3
floral,1,1
home,9,3
1080p,2,1
4k,5,1
marvel,3,2
movie clip,1,1
sucker punch,1,1
sucker punch ending scene,1,1
sucker punch fight scene,1,1
sucker punch opening scene,1,1
sucker punch scene,1,1
superhero,4,2
crisis negotiator,1,1
drama,8,2
luke,3,2
ransom,1,1
ransom cast,1,1
ransom show cast,1,1
2017,85,66
4th may 2017,26,25
episode,46,42
full episode,77,48
gayatri,3,3
joshi,3,3
khan,4,3
latest,45,43
news,148,59
preview,39,44
serial,64,44
singh,6,4
star plus,26,22
today,41,40
today episode,32,26
upcoming,13,11
video,34,9
ye,3,3
oh,3,3
star,8,5
colors,42,25
learn,22,16
learn colors,8,9
learning,15,8
20170404,1,1
201744,1,1
cheer,1,1
dance,9,4
sex,4,2
2017,85,66
bole,3,3
bole 4th may 2017,1,2
bole full episode,2,3
bole preview,1,2
bole serial,2,3
bole star plus,3,3
bole today,2,3
episode,46,42
full episode,77,48
latest,45,43
location,22,21
new,47,18
om,2,2
preview,39,44
serial,64,44
star plus,26,22
tell,23,13
today,41,40
2017,85,66
movie,15,7
official,7,3
trailer,17,11
double pedal,1,1
eliminator,1,1
full,6,6
gold,4,3
gold star,1,1
inform,9,3
legacy adapter,1,1
one,7,2
pearl,1,1
pro,15,4
rb1,1,1
rb2,1,1
rb3,1,1
rb4,1,1
rock band,1,1
rock band 1,1,1
rock band 2,1,1
rock band 3,1,1
rock band 4,1,1
star,8,5
td4,1,1
athlete,1,1
athletic,1,1
every damn day,1,1
fitness,4,1
functional,1,1
hick hop,1,1
infinite,1,1
logical,1,1
moccasin creek,1,1
nutrition,4,2
real men real style,1,1
shaw,1,1
teaching fashion,1,1
tiger fitness,1,1
workout,2,1
yoga,2,1
cut,2,1
dash mining,1,1
digital cash,1,1
genesis,1,1
genesis mining,1,1
genesis mining dash,1,1
genesis mining review,1,1
genesis mining roi,1,1
genesis mining scam,0,1
mining,2,1
move,10,3
nick,8,1
x11,1,1
funny,61,32
heathenism,1,1
heathenry,1,1
iceland,1,1
mythology,2,1
new saga,1,1
old ways,1,1
paganism,1,1
paganry,1,1
saga,1,1
v sa,1,1
viking faith,1,1
funny,61,32
cash,3,1
earn cash,1,1
free cash,2,1
free money,1,1
free recharge,4,1
hack,10,1
hack trick,2,1
money,8,2
new trick,1,1
old,7,3
refer get,1,1
unlimited,2,1
unlimited cash,1,1
wallet,2,1
adventure,7,5
animal,4,1
animal adventure,1,1
giraffe,1,1
giraffe cam,1,1
new york,2,1
park,3,1
zoo,2,1
7,3,2
big family,2,2
bus life,2,2
bus life 9,2,2
bus life nine,2,2
family 9 bus,2,2
family show,2,2
full time,2,2
go,10,3
good news bus,2,2
life,16,8
reality,3,2
red white bus,2,2
school,13,4
show,4,2
baby finger,3,3
baby finger family song,3,3
baby song,5,5
finger family,8,6
finger family mouse,3,3
mouse,9,5
mouse clubhouse,3,3
nursery,10,5
funny,61,32
real estate,10,10
residential,8,8
sale,10,8
virtual tour,8,8
movie streaming,1,1
diet,11,2
diet consultant,2,2
diet daily,2,2
diet dual dynamics,2,2
diet honest review,2,2
diet plan,2,2
diet review,2,2
diet success,2,2
diet week 1,2,2
diet week one,2,2
diet weight loss,2,2
lose weight,2,2
colors,42,25
learn colors,8,9
fake news,5,1
jimmy,8,2
jimmy show,2,2
news,148,59
politics,18,4
progressive talk show,2,2
tyt,2,2
young,3,2
spinner,3,2
review,24,14
scam,1,1
breaking news,6,3
news,148,59
television,12,5
beautiful,16,10
comedy,64,23
cute,17,8
girl,16,10
love,39,21
independence,1,1
real estate,10,10
realty,2,1
residential,8,8
sale,10,8
virtual tour,8,8
congress,4,1
news,148,59
top,11,5
death,5,2
daily,11,2
funny,61,32
cartoon,38,16
needs go,2,2
needs go full,2,2
animation,11,7
bean,13,7
bean funny,7,7
ben,8,6
cartoon,38,16
cartoon network,6,6
comedy,64,23
entertainment television,6,6
funny,61,32
grey matter,6,6
preview,39,44
sab,6,6
serial,64,44
set,9,8
star plus,26,22
sunny hot,6,6
sunny hot scene,6,6
dark 3,4,2
dark 3 2016,2,2
dark 3 guide,2,2
dark 3 ringed city,8,2
dark 3 ringed city boss,2,2
dark 3 ringed city ending,2,2
dark 3 ringed city part 1,2,2
news,148,59
tiger childhood,1,1
tiger shroff,3,3
tiger shroff interview,1,1
tiger shroff share childhood,2,1
tiger shroff share childhood media,1,1
2017,85,66
best,24,7
entertainment,10,7
extreme,2,2
ge locomotive,2,2
general electric,2,1
locomotive,1,2
railway,4,2
animation series,1,1
cartoon,38,16
cartoon movie,1,1
cartoon show,1,1
cartoon video,1,1
channel,7,4
comedy,64,23
episode,46,42
funny,61,32
interesting,6,2
latest comedy,1,1
new,47,18
