Id,3/1/2017,3/2/2017,3/3/2017,3/4/2017,3/5/2017,3/6/2017,3/7/2017,3/8/2017,3/9/2017,3/10/2017,3/11/2017,3/12/2017,3/13/2017,3/14/2017,3/15/2017,3/16/2017,3/17/2017,3/18/2017,3/19/2017,3/20/2017,3/21/2017,3/22/2017,3/23/2017,3/24/2017,3/25/2017,3/26/2017,3/27/2017,3/28/2017,3/29/2017,3/30/2017,3/31/2017,4/1/2017,4/2/2017,4/3/2017,4/4/2017,4/5/2017,4/6/2017,4/7/2017,4/8/2017,4/9/2017,4/10/2017,4/11/2017,4/12/2017,4/13/2017,4/14/2017,4/15/2017,4/16/2017,4/17/2017,4/18/2017,4/19/2017,4/20/2017,4/21/2017,4/22/2017,4/23/2017,4/24/2017,4/25/2017,4/26/2017,4/27/2017,4/28/2017,4/29/2017,4/30/2017,5/1/2017,5/2/2017,5/3/2017,5/4/2017,5/5/2017,6/2017,5/7/2017,5/8/2017,5/9/2017
po_A_XDU3mI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.050000000000004,,,,90.01,46.13666666666667,21.44,75.74,,,,58.589999999999996,85.28999999999999,61.13000000000001,63.690000000000005,,20.4,,80.735,82.67999999999999,,,,0.0,85.53,,
BUkLkx-RKX4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.264000000000003,,,,,0.0,44.04,,,,,,,,58.589999999999996,40.19,,,,,,,,,,,36.120000000000005,,92.10000000000001,,,,,,,,,,
fwnMm5NjzTk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.26499999999999,61.214999999999996,,84.902,58.589999999999996,,,91.34,,,,51.04500000000001,,94.65,,,81.76,74.58500000000001,79.35,,59.940000000000005,,,,
2O2jux74j1k,,,,,,,,,,,,,,,,,,,,,,,,,,33.26,53.035,,,,78.45,57.14,,31.819999999999997,-22.305,,87.015,0.0,,63.690000000000005,,,,,66.82000000000001,,,,,,0.0,,61.24000000000001,,0.0,,,,,,,,,,,55.74,,,,
absfhludsX4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ef4J2ZtLsS0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.13285714285714,44.866666666666674,-8.24,,,43.275000000000006,,70.96000000000001,,-64.39,,,,,,-47.67,,,,,51.94,,
0R6HDl0Kamg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.67923076923078,62.075,,,0.0,,63.690000000000005,,,,,,,,,,,,,,,,,
r-fauECnPFg,,,,,-7.720000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.115000000000002,,,,0.0,-45.879999999999995,-40.19,,,63.61,,,,-18.626666666666665,-47.67,,,,-38.18,18.060000000000002,4.759999999999998,-42.28,,
iJL8r38HLZI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.861999999999995,
5rRgacCf4T0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.3999999999999995,-17.556666666666665,,-7.3999999999999995,-14.799999999999999,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,
T5aSeu0eIvg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.4,,,,,,,,,,,,,,,,,,,,,,,68.28461538461539,71.03200000000001,,90.0,,,,,,
XnLHOU_MwVc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-38.52166666666666,-26.00166666666666,-41.53,,-93.67,,,55.74,-43.64,,,,,,,,,,,,,-88.42,,,,,,,,,,,,,,,,,
0ebWjc_YW2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.763333333333335,44.53,,-22.63,,13.66,,,,,0.0,,,,,,,,,,,,
GQ9sBynd0gM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.735,61.13999999999999,37.22375,51.67333333333334,71.92,,
CbUEFH3Plm0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.720000000000001,3.558,8.5225,0.0,,0.0,,84.24000000000001,79.64,,-70.65,0.0,,,,,,,,,,
H4KNMg-lI-s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.44833333333333,2.9320000000000004,42.775,0.0,,,,,-59.940000000000005,,,,0.0,,0.0,,,,,,,,,,0.0,63.690000000000005,,,
15Q4JDh_eJE,,,,,,,,,,,,,,,,,,,,,,,,,5.539999999999997,43.75333333333333,3.035,-12.885,0.0,68.08,,57.175,,,,,,,,,,,,,,,0.0,,,,,,36.120000000000005,,,34.0,27.32,,,,,,,,,,,,,
e_-9sfCtS1A,,,,,,7.253333333333336,,,82.56,,42.15,,,0.0,20.23,,0.0,,,0.0,88.8,,,,,38.585,,0.0,,,,,,,27.32,,,0.0,,,,,,,,,,-38.18,,,,,34.0,,,,,,,,,,,,,,,,,
hnxb5qIr82U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
bX8zfeI7Vg4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.41,71.52333333333334,60.935,79.06,7.720000000000001,,,0.0,57.19,,,,49.27,,89.1,,
1yB7mAy3PZg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,,
NQ5k5F1c7Pg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.615,0.0,0.0,,,,,,,,,
Rx08aSoh4IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.400000000000006,21.015,-3.423333333333333,,0.0,,0.0,,-29.599999999999998,0.0,-17.675,,,40.19,,0.0,,-29.599999999999998,0.0,,0.0,,20.23,,,,,,,,,
gY3N-ox1tik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.59416666666668,,0.0,95.27,,,40.8825,,,,,,,,,,,,,,,,
lNm7PIiBuPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4AuBC9K0EhY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,,0.0,-29.599999999999998,,,,,,,,,
KVFGlp6MuN4,,,,,,,,,,,,,,,,,,,,,,,,63.305,67.7775,86.55000000000001,,,,85.815,,,,,,62.925,,,,82.25,,,,,,63.690000000000005,,0.0,,,,,,,,63.61,35.705000000000005,,,,,,,,,,85.35000000000001,,,
06VbgC4rHBs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
